epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6967,1.72793,4.09,2.0822,0.00416,0.68519,0.01688,0.00517,1.95378,5.44616,3.12506,2.5e-05,2.5e-05,2.5e-05
2,60.0569,1.73875,4.13562,2.09402,0.00488,0.74074,0.02932,0.00726,1.87449,5.46812,3.02478,5.51362e-05,5.51362e-05,5.51362e-05
3,89.5647,1.56836,4.04085,1.99188,0.00623,0.90741,0.05272,0.01315,1.87292,5.47208,3.03997,8.4035e-05,8.4035e-05,8.4035e-05
4,122.931,1.41092,3.96807,1.86428,0.00776,0.87037,0.07847,0.02397,1.82762,5.42981,3.02287,0.000111696,0.000111696,0.000111696
5,154.123,1.25915,3.86146,1.73641,0.00892,0.94444,0.07116,0.02875,1.66516,5.22781,2.80469,0.00013812,0.00013812,0.00013812
6,184.87,1.27196,3.80375,1.7129,0.00866,0.94444,0.09738,0.04432,1.47604,5.18824,2.53987,0.000163306,0.000163306,0.000163306
7,215.392,1.26319,3.76047,1.71024,0.00742,0.96296,0.10979,0.05266,1.43229,5.00838,2.34475,0.000187255,0.000187255,0.000187255
8,246.796,1.19623,3.56161,1.64859,0.00737,0.96296,0.12395,0.0676,1.33636,4.82623,2.17834,0.000209966,0.000209966,0.000209966
9,277.764,1.28936,3.46808,1.67767,0.00908,0.96296,0.18968,0.13828,1.29234,4.72497,2.13045,0.00023144,0.00023144,0.00023144
10,308.457,1.25493,3.33953,1.70751,0.01096,0.96296,0.18856,0.11532,1.44644,4.77292,2.29536,0.000251676,0.000251676,0.000251676
11,339.01,1.18317,3.20095,1.63604,0.0123,0.90741,0.23067,0.10986,1.53385,4.90142,2.55652,0.000270675,0.000270675,0.000270675
12,376.562,1.12128,3.19773,1.56951,0.01234,0.90741,0.19734,0.09619,1.54155,4.85624,2.63118,0.000288436,0.000288436,0.000288436
13,408.527,1.16465,3.16683,1.6084,0.01091,0.85185,0.2292,0.11056,1.51889,4.85979,2.63716,0.00030496,0.00030496,0.00030496
14,439.645,1.15874,2.90951,1.57629,0.00806,0.85185,0.2501,0.12767,1.73751,4.56597,2.73543,0.000320246,0.000320246,0.000320246
15,471.243,1.22025,3.03102,1.65078,0.80318,0.14475,0.32282,0.16481,1.81579,4.36384,2.9059,0.000334295,0.000334295,0.000334295
16,502.037,1.08354,2.91326,1.5926,0.82238,0.09341,0.36467,0.1503,1.82153,4.39661,2.79239,0.000347106,0.000347106,0.000347106
17,532.543,1.19233,2.8343,1.61884,0.73331,0.19702,0.44759,0.17828,1.6873,4.16529,2.55224,0.00035868,0.00035868,0.00035868
18,562.409,1.10158,2.71706,1.57104,0.74486,0.27469,0.41573,0.1748,1.55303,3.95498,2.30773,0.000369016,0.000369016,0.000369016
19,592.684,1.14843,2.58804,1.61623,0.54338,0.36949,0.43043,0.20696,1.51987,3.83523,2.17979,0.000378115,0.000378115,0.000378115
20,622.988,1.17957,2.60575,1.64989,0.90814,0.24074,0.41331,0.22482,1.54884,3.98576,2.25428,0.000385976,0.000385976,0.000385976
21,653.292,1.2105,2.71581,1.63705,0.78204,0.32017,0.36989,0.18917,1.611,4.01356,2.3899,0.0003775,0.0003775,0.0003775
22,683.691,1.22466,2.59972,1.59809,0.77676,0.2955,0.33268,0.15753,1.63683,4.0494,2.34951,0.000365125,0.000365125,0.000365125
23,716.488,1.16027,2.59034,1.58819,0.4017,0.2963,0.34328,0.18139,1.5183,4.0917,2.19494,0.00035275,0.00035275,0.00035275
24,750.849,1.11564,2.47681,1.54977,0.39651,0.2963,0.38222,0.18544,1.32207,4.05105,2.04201,0.000340375,0.000340375,0.000340375
